Genes,Cell,P_value,enrichment_fold,Count
CD4/TLR4/TLR2/TLR9/CD14/CCR2/CCL2/CX3CR1/CD80/MPO/CD2/S100A12/CXCL8/CD163/CD86/CD19,Myeloid cell,1.96956118804285e-17,20.58,16
CD4/TNF/TLR9/CD14/CCR6/CCL20/IL6/CCR2/CD80/CCR7/CD163/CD86/CD19,Dendritic cell,7.3634520397203e-16,27.27,13
TLR4/TLR2/TNF/IL6/CCL2/CD80/CCR7/CXCL8/CD163/CD86,M1 macrophage,4.4540042423827104e-15,49.22,10
CD4/TLR4/TLR2/TNF/IL10/CD14/CCR2/CCL2/CX3CR1/CD80/CCR7/S100A12/CXCL8/CD163/CD86/CD19,Macrophage,5.996812908392981e-15,14.37,16
CD4/TNF/CD14/IL6/CCL2/FOXP3/CD6/CD2/CD163/CD86/CD19,Immune cell,1.30929717935451e-14,33.92,11
